user_id,ip,salario,montomaximo,Entidadtarjeta,historialtransaccion,tipodecomercio,montoTransacción,country_transaction,Fraud
1,52.236.100.237,39297,3930,RBS,1,Fashion,9.0,Russia,0
1,75.11.117.242,39297,3930,RBS,2,Children,20.0,United Kingdom,0
1,19.110.52.140,39297,3930,RBS,3,Fashion,8.0,United Kingdom,0
1,18.217.61.185,39297,3930,RBS,4,Entertainment,391.0,United Kingdom,0
1,47.29.69.243,39297,3930,RBS,5,Electronics,6.0,United Kingdom,0
1,203.13.47.134,39297,3930,RBS,6,Gaming,388.0,United Kingdom,1
1,200.170.179.173,39297,3930,RBS,7,Gaming,12892.53,Russia,1
1,117.171.104.168,39297,3930,RBS,8,Gaming,6.0,Russia,0
1,10.93.185.161,39297,3930,RBS,9,Children,236.0,United Kingdom,0
2,86.105.220.253,50071,5007,Barclays,1,Food,27.0,United Kingdom,0
2,35.68.119.149,50071,5007,Barclays,2,Entertainment,13.0,United Kingdom,0
2,142.128.163.63,50071,5007,Barclays,3,Subscription,26.0,United Kingdom,0
2,48.169.130.100,50071,5007,Barclays,4,Products,32.0,United Kingdom,0
2,41.30.182.227,50071,5007,Barclays,5,Electronics,245.0,United Kingdom,0
2,164.145.22.238,50071,5007,Barclays,6,Children,247.0,India,0
2,48.219.183.153,50071,5007,Barclays,7,Fashion,250.0,United Kingdom,0
3,85.247.108.2,55319,5532,Barclays,1,Gaming,22.0,United Kingdom,0
3,177.145.67.91,55319,5532,Barclays,2,Food,303.0,India,0
3,76.128.167.54,55319,5532,Barclays,3,Entertainment,28.0,Russia,0
3,177.144.240.230,55319,5532,Barclays,4,Children,135.0,United Kingdom,0
3,38.83.196.123,55319,5532,Barclays,5,Gaming,6.0,China,0
3,56.149.178.192,55319,5532,Barclays,6,Children,265.0,United Kingdom,0
3,68.137.144.90,55319,5532,Barclays,7,Entertainment,30.0,India,0
4,27.30.87.164,42468,4247,Barclays,1,Gaming,388.0,India,0
4,47.64.183.101,42468,4247,Barclays,2,Fashion,25.0,United Kingdom,0
4,112.188.96.251,42468,4247,Barclays,3,Services,23.0,United Kingdom,0
4,159.162.95.133,42468,4247,Barclays,4,Children,365.0,United Kingdom,0
4,150.61.224.168,42468,4247,Barclays,5,Gaming,299.0,United Kingdom,0
4,136.118.193.123,42468,4247,Barclays,6,Restaurant,10.0,United Kingdom,0
4,161.70.248.114,42468,4247,Barclays,7,Electronics,316.0,United Kingdom,0
4,122.47.86.17,42468,4247,Barclays,8,Fashion,6.0,USA,0
4,33.234.103.5,42468,4247,Barclays,9,Products,28.0,United Kingdom,0
4,183.111.172.182,42468,4247,Barclays,10,Products,11.0,United Kingdom,0
4,177.69.111.207,42468,4247,Barclays,11,Entertainment,12.0,United Kingdom,0
5,25.211.90.252,31850,3185,Barclays,1,Gaming,290.0,United Kingdom,0
5,91.108.27.207,31850,3185,Barclays,2,Products,7.0,United Kingdom,0
5,211.31.167.73,31850,3185,Barclays,3,Electronics,99.0,United Kingdom,0
5,213.236.234.22,31850,3185,Barclays,4,Products,14.0,United Kingdom,0
5,168.149.104.23,31850,3185,Barclays,5,Services,9.0,USA,0
5,219.130.158.180,31850,3185,Barclays,6,Entertainment,303.0,United Kingdom,0
5,143.180.58.122,31850,3185,Barclays,7,Products,6.0,Russia,0
6,6.179.153.136,49013,4901,Halifax,1,Fashion,332.0,United Kingdom,0
6,174.174.33.12,49013,4901,Halifax,2,Gaming,27.0,United Kingdom,0
6,202.236.244.13,49013,4901,Halifax,3,Children,315.0,United Kingdom,0
6,217.221.121.247,49013,4901,Halifax,4,Electronics,376.0,India,0
7,180.170.241.230,25589,2559,RBS,1,Electronics,29.0,United Kingdom,0
7,151.11.56.228,25589,2559,RBS,2,Electronics,250.0,United Kingdom,0
7,78.148.252.53,25589,2559,RBS,3,Entertainment,9.0,United Kingdom,0
7,18.103.225.204,25589,2559,RBS,4,Food,19.0,United Kingdom,0
7,177.18.144.213,25589,2559,RBS,5,Services,379.0,China,0
7,203.146.221.184,25589,2559,RBS,6,Gaming,28.0,India,0
7,171.231.196.234,25589,2559,RBS,7,Restaurant,11.0,United Kingdom,0
7,28.81.196.164,25589,2559,RBS,8,Gaming,278.0,United Kingdom,0
7,216.34.186.189,25589,2559,RBS,9,Gaming,354.0,United Kingdom,0
7,15.202.221.251,25589,2559,RBS,10,Products,23.0,United Kingdom,0
8,30.20.37.171,35425,3542,HSBC,1,Products,231.0,China,0
8,68.171.17.46,35425,3542,HSBC,2,Restaurant,14.0,United Kingdom,0
8,4.25.74.59,35425,3542,HSBC,3,Food,53.0,India,0
8,198.123.84.201,35425,3542,HSBC,4,Services,371.0,United Kingdom,0
8,129.9.55.52,35425,3542,HSBC,5,Fashion,16.0,India,0
8,103.34.120.162,35425,3542,HSBC,6,Children,282.0,United Kingdom,0
8,146.7.70.204,35425,3542,HSBC,7,Children,229.0,United Kingdom,0
9,203.129.42.88,69238,6924,Monzo,1,Fashion,180.0,United Kingdom,0
9,182.67.182.65,69238,6924,Monzo,2,Electronics,19.0,United Kingdom,0
9,188.35.244.17,69238,6924,Monzo,3,Entertainment,17.0,India,0
9,209.52.74.148,69238,6924,Monzo,4,Children,25.0,USA,0
9,93.145.215.186,69238,6924,Monzo,5,Products,7.0,United Kingdom,0
9,17.89.74.47,69238,6924,Monzo,6,Subscription,362.0,India,0
9,8.75.184.2,69238,6924,Monzo,7,Entertainment,108.0,United Kingdom,0
9,87.127.146.58,69238,6924,Monzo,8,Services,143.0,United Kingdom,0
9,144.2.159.102,69238,6924,Monzo,9,Restaurant,222.0,United Kingdom,0
9,171.36.111.193,69238,6924,Monzo,10,Subscription,13.0,United Kingdom,0
9,119.1.112.236,69238,6924,Monzo,11,Gaming,12.0,United Kingdom,0
9,71.28.78.122,69238,6924,Monzo,12,Gaming,300.0,United Kingdom,0
10,21.82.135.225,29573,2957,Barclays,1,Entertainment,28.0,United Kingdom,0
10,180.47.56.55,29573,2957,Barclays,2,Restaurant,10.0,United Kingdom,0
10,19.63.119.196,29573,2957,Barclays,3,Products,218.0,Russia,0
10,35.198.254.68,29573,2957,Barclays,4,Fashion,9.0,China,0
10,210.111.168.91,29573,2957,Barclays,5,Gaming,26.0,China,0
10,123.105.245.163,29573,2957,Barclays,6,Gaming,14.0,United Kingdom,0
10,116.190.38.84,29573,2957,Barclays,7,Entertainment,181.0,United Kingdom,0
10,173.248.226.163,29573,2957,Barclays,8,Products,18.0,USA,0
10,184.95.172.112,29573,2957,Barclays,9,Electronics,30.0,United Kingdom,0
10,50.124.45.227,29573,2957,Barclays,10,Restaurant,14.0,China,0
10,196.18.132.131,29573,2957,Barclays,11,Subscription,30.0,United Kingdom,0
11,13.189.96.84,19437,1944,Halifax,1,Products,136.0,United Kingdom,0
11,8.17.116.243,19437,1944,Halifax,2,Food,287.0,United Kingdom,1
11,101.207.70.47,19437,1944,Halifax,3,Products,92.0,China,0
11,186.116.248.118,19437,1944,Halifax,4,Food,358.0,India,0
11,56.122.44.130,19437,1944,Halifax,5,Services,59.0,United Kingdom,0
11,66.101.127.138,19437,1944,Halifax,6,Products,27.0,United Kingdom,0
11,45.78.132.204,19437,1944,Halifax,7,Food,5.0,United Kingdom,0
11,37.191.195.109,19437,1944,Halifax,8,Restaurant,15.0,United Kingdom,0
11,56.162.78.109,19437,1944,Halifax,9,Services,15.0,United Kingdom,0
11,23.226.105.246,19437,1944,Halifax,10,Food,89.0,United Kingdom,1
11,119.82.112.75,19437,1944,Halifax,11,Gaming,11.0,United Kingdom,0
11,192.204.221.130,19437,1944,Halifax,12,Gaming,251.0,India,0
12,63.166.12.216,43387,4339,Monzo,1,Services,132.0,United Kingdom,0
12,40.108.113.3,43387,4339,Monzo,2,Subscription,174.0,United Kingdom,0
12,72.56.206.65,43387,4339,Monzo,3,Electronics,10.0,United Kingdom,0
12,26.120.75.73,43387,4339,Monzo,4,Gaming,20.0,United Kingdom,0
12,214.191.102.143,43387,4339,Monzo,5,Subscription,349.0,United Kingdom,0
12,155.27.246.6,43387,4339,Monzo,6,Products,301.0,United Kingdom,0
12,111.191.137.42,43387,4339,Monzo,7,Restaurant,21.0,China,0
12,148.159.210.167,43387,4339,Monzo,8,Entertainment,24.0,United Kingdom,0
12,10.32.107.202,43387,4339,Monzo,9,Subscription,20.0,Russia,0
13,78.156.181.52,23307,2331,Barlcays,1,Restaurant,251.0,United Kingdom,0
13,99.57.13.31,23307,2331,Barlcays,2,Children,8983.36,India,1
13,151.43.178.212,23307,2331,Barlcays,3,Restaurant,7.0,USA,0
13,119.187.119.188,23307,2331,Barlcays,4,Services,279.0,China,0
13,37.179.146.9,23307,2331,Barlcays,5,Products,22.0,China,0
13,63.126.134.197,23307,2331,Barlcays,6,Fashion,268.0,India,0
13,72.199.203.86,23307,2331,Barlcays,7,Products,184.0,China,0
13,76.197.231.199,23307,2331,Barlcays,8,Electronics,24.0,United Kingdom,0
13,106.132.70.84,23307,2331,Barlcays,9,Children,327.0,United Kingdom,0
14,83.238.21.193,22708,2271,Barclays,1,Subscription,24.0,China,0
14,19.104.40.2,22708,2271,Barclays,2,Entertainment,25.0,United Kingdom,0
14,179.181.56.73,22708,2271,Barclays,3,Electronics,367.0,United Kingdom,0
14,43.192.212.54,22708,2271,Barclays,4,Restaurant,178.0,Russia,0
14,121.160.151.246,22708,2271,Barclays,5,Food,11.0,United Kingdom,0
14,210.200.5.46,22708,2271,Barclays,6,Restaurant,6.0,Russia,0
14,220.163.148.70,22708,2271,Barclays,7,Products,323.0,United Kingdom,0
14,31.143.213.46,22708,2271,Barclays,8,Subscription,19.0,United Kingdom,0
14,181.230.26.238,22708,2271,Barclays,9,Subscription,28.0,United Kingdom,0
15,63.24.187.162,37577,3758,Barclays,1,Food,88.0,Russia,0
15,195.24.129.30,37577,3758,Barclays,2,Children,264.0,USA,0
15,113.166.73.246,37577,3758,Barclays,3,Food,260.0,United Kingdom,0
15,109.141.26.25,37577,3758,Barclays,4,Services,20.0,United Kingdom,0
15,159.95.25.72,37577,3758,Barclays,5,Electronics,8.0,United Kingdom,0
15,86.134.5.207,37577,3758,Barclays,6,Food,23.0,Russia,0
15,51.221.240.115,37577,3758,Barclays,7,Gaming,191.0,United Kingdom,0
16,150.70.85.87,29762,2976,Barlcays,1,Services,122.0,United Kingdom,0
16,60.220.252.199,29762,2976,Barlcays,2,Subscription,113.0,United Kingdom,0
16,101.150.140.227,29762,2976,Barlcays,3,Services,8.0,USA,0
16,76.26.34.19,29762,2976,Barlcays,4,Subscription,89.0,United Kingdom,0
16,163.52.110.247,29762,2976,Barlcays,5,Electronics,24.0,United Kingdom,0
16,49.169.104.36,29762,2976,Barlcays,6,Subscription,225.0,United Kingdom,0
16,52.138.30.206,29762,2976,Barlcays,7,Restaurant,26.0,United Kingdom,0
16,88.161.130.233,29762,2976,Barlcays,8,Children,199.0,United Kingdom,0
16,107.100.171.225,29762,2976,Barlcays,9,Products,29.0,United Kingdom,0
16,188.145.83.231,29762,2976,Barlcays,10,Entertainment,14.0,USA,0
16,165.224.12.80,29762,2976,Barlcays,11,Subscription,28.0,Russia,0
16,83.124.174.174,29762,2976,Barlcays,12,Restaurant,47.0,United Kingdom,0
16,218.189.37.164,29762,2976,Barlcays,13,Restaurant,25.0,United Kingdom,0
17,120.226.16.137,19435,1944,Barclays,1,Electronics,155.0,USA,0
17,39.211.145.109,19435,1944,Barclays,2,Restaurant,320.0,Russia,0
17,62.5.101.11,19435,1944,Barclays,3,Gaming,176.0,USA,0
17,170.81.36.145,19435,1944,Barclays,4,Children,24.0,United Kingdom,0
17,33.168.30.162,19435,1944,Barclays,5,Services,133.0,United Kingdom,0
17,79.243.186.23,19435,1944,Barclays,6,Fashion,106.0,United Kingdom,0
17,206.220.230.213,19435,1944,Barclays,7,Gaming,198.0,India,0
17,103.233.215.38,19435,1944,Barclays,8,Electronics,5.0,United Kingdom,0
18,72.40.30.56,44746,4475,Barlcays,1,Food,228.0,United Kingdom,0
18,202.133.157.65,44746,4475,Barlcays,2,Food,352.0,United Kingdom,0
18,33.184.110.72,44746,4475,Barlcays,3,Food,333.0,United Kingdom,0
18,30.75.136.133,44746,4475,Barlcays,4,Services,20.0,United Kingdom,0
18,29.71.38.82,44746,4475,Barlcays,5,Entertainment,38.0,India,1
18,47.2.82.130,44746,4475,Barlcays,6,Services,277.0,United Kingdom,0
19,148.240.238.134,19384,1938,Halifax,1,Entertainment,293.0,United Kingdom,0
19,45.231.13.201,19384,1938,Halifax,2,Food,243.0,United Kingdom,0
